angles,magnitud,activity
0.0153809,0.00983352,0
-4.34882E-06,0.234599,0
0,-2.68681,0
0.847222,0.722222,0
0.0833333,0.166667,0
833334000,-10000000000,0
1,1,0
0,0,0
4.08333,13.8333,0
0.0763889,0.138889,0
0.124563,0.195668,0
0.124563,0.195668,0
0.0129937,0.0110406,0
0.124563,0.195668,0
67167.6,146629,0
1,0.76,0
0,0.133333,0
0,-10.7857,0
1,1.06222,0
0,0,0
4,13.7333,0
0,0.595556,0
-4.34882E-06,0.210661,0
-4.34882E-06,0.210661,0
0.0153809,0.0117698,0
-4.34882E-06,0.170528,0
0,-2.39748,0
0.218837,0.174515,0
0.157895,0.263158,0
1.0176,1.04659,0
2.49377,4.3885,0
0,0,0
6.21053,9.89474,0
5.79778,13.6205,0
0.767605,0.722788,0
0.805264,0.788255,0
0.0112257,0.0093213,0
0.189414,0.25029,0
-0.701214,-0.779512,0
0.146814,0.146814,0
0.263158,1.36842,0
1.03155,0.317221,0
2.66759,5.47091,0
0,0,0
5.63158,9.26316,0
6.02216,16.615,0
0.886506,0.842863,0
0.886506,0.886506,0
0.0093213,0.00689748,0
0.25029,0.438711,0
-0.67847,-1.63673,0
0.185596,0.202216,0
0.157895,0.736842,0
0.884133,0.67613,0
2.81717,5.87535,0
0,0,0
5.63158,8.84211,0
6.96953,18.3435,0
0.803818,0.695222,0
0.803818,0.752407,0
0.0112257,0.010966,0
0.189414,0.26474,0
-0.788467,-1.47962,0
0.197279,0.192744,0
0.666667,0.333333,0
0.471026,0.89796,0
2.80045,6.13379,0
0,0,0
5.52381,8.33333,0
6.15419,20.6032,0
0.777234,0.734183,0
0.81672,0.790087,0
0.008649,0.0103497,0
0.31572,0.257968,0
-0.71099,-1.03433,0
0.639889,0.722992,0
0.473684,0.842105,0
1.17923,0.712657,0
4.52355,3.93075,0
0,0,0
4.05263,3.26316,0
16.4709,9.77285,0
0.318556,0.233057,0
0.318556,0.233057,0
0.0138227,0.0138227,0
0.0895394,0.0895394,0
-1.49126,-0.727963,0
0.530612,0.642857,0
4.21429,1.14286,0
0.424269,0.6923,0
6.08673,4.71429,0
0,0,0
4.35714,3.71429,0
14.6582,12.4898,0
0.388821,0.284874,0
0.431821,0.284874,0
0.00964106,0.0133082,0
0.327874,0.111743,0
-1.37009,-0.738829,0
0.371901,0.454545,0
0,1.45455,0
0.999991,0.656244,0
5.5124,6.28926,0
0,0,0
5.63636,5.09091,0
18.0496,17.719,0
0.507464,0.448853,0
0.507464,0.448853,0
0.0153809,0.0127982,0
-4.34882E-06,0.132293,0
-0.999864,-1.74043,0
0.54,0.68,0
0,0,0
0.999991,0.99999,0
5.84,5,0
0,0,0
4.8,4,0
19.36,16,0
0.348212,0.217313,0
0.348212,0.217313,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.99987,-0.999955,0
0.424036,1,0
11.7143,0,0
0.437497,0,0
9.88889,1,0
0,0,0
4.09524,2,0
25.2834,0,0
0.437527,-4.34882E-06,0
0.507114,-4.34882E-06,0
0.008649,0.0153809,0
0.31572,-4.34882E-06,0
-0.723293,0,0
0.370242,1,0
11.5882,0,0
0.0218252,0,0
13.2076,1,0
0,0,0
4.05882,2,0
32.2215,0,0
0.499385,-4.34882E-06,0
0.499385,-4.34882E-06,0
0.00846044,0.0153809,0
0.327,-4.34882E-06,0
-1.14805,0,0
0.486111,1,0
8.16667,0,0
0.555552,0,0
10.1875,1,0
0,0,0
2.83333,2,0
28.5833,0,0
0.376765,-4.34882E-06,0
0.426932,-4.34882E-06,0
0.0110406,0.0153809,0
0.195668,-4.34882E-06,0
-0.251772,0,0
0.27551,1,0
3.64286,0,0
0.737982,0,0
11.0867,1,0
0,0,0
6.64286,2,0
38.4949,0,0
0.624364,-4.34882E-06,0
0.624364,-4.34882E-06,0
0.0098005,0.0153809,0
0.284874,-4.34882E-06,0
-0.666976,0,0
0.191358,0.555556,0
1.38889,0.722222,0
1.02082,0.288748,0
3.66667,2.01543,0
0,0,0
9.72222,2.94444,0
6.42284,2.49691,0
0.699691,0.37122,0
0.800025,0.37122,0
0.00689321,0.012198,0
0.42469,0.184931,0
-1.10433,-0.543806,0
0.418685,0.640138,0
0.117647,0,0
2.88878,0.999976,0
1.24914,1.71972,0
0,0,0
11.1765,2.94118,0
0.851211,2.87889,0
0.415192,0.23694,0
0.415192,0.23694,0
0.0121369,0.0153809,0
0.157297,-4.34882E-06,0
-0.597229,-0.999972,0
0.42,0.82,0
0.2,0,0
0.523778,0.999967,0
1.21,1.36,0
0,0,0
11.4,2.4,0
0.64,1.44,0
0.412684,0.141173,0
0.472886,0.141173,0
0.0103809,0.0153809,0
0.217313,-4.34882E-06,0
-0.217444,-0.999781,0
0.301775,0.514793,0
2.15385,1,0
-3.22483,0.566653,0
1.23669,1.71006,0
0,0,0
10.6154,3,0
1.77515,2.46154,0
0.549737,0.406984,0
0.549737,0.406984,0
0.00816932,0.0111279,0
0.343196,0.232752,0
-1.37149,-1.65847,0
0.125396,0.0656406,0
2.74468,4.46809,0
1.56397,0.722991,0
1.67904,4.30285,0
0,0,0
10.2766,8.29787,0
3.85966,7.35808,0
0.830566,0.960244,0
1.04448,1.25296,0
0.00402108,0.00335619,0
0.611945,0.697145,0
-1.06767,-0.28948,0
0.095679,0.0725309,0
3.58333,4.02778,0
1.85269,0.617384,0
1.74923,4.19444,0
0,0,0
10.3611,8.69444,0
4.1196,7.21219,0
0.859712,0.951982,0
1.11801,1.1924,0
0.0034451,0.00356566,0
0.652414,0.673126,0
-1.49645,-0.336813,0
0.183673,0.092878,0
2.89796,1.20408,0
0.175183,0.741025,0
3.00417,3.20658,0
0,0,0
10.8571,8.87755,0
5.7551,8.02582,0
0.70936,0.906985,0
0.948805,1.10414,0
0.00695989,0.0057885,0
0.490589,0.459873,0
-0.656143,-0.404786,0
0.109375,0.0957031,0
3.96875,5.4375,0
-0.719301,-1.47246,0
3.99902,2.75684,0
0,0,0
10.4688,9,0
3.49902,5.1875,0
0.747808,0.866605,0
1.04301,1.08774,0
0.00363159,0.00292969,0
0.642886,0.718988,0
-0.506063,-0.519899,0
0.503447,0.56401,0
2.68889,0.142222,0
0.668366,3.02839,0
8.43802,1.32427,0
0,0,0
2.64444,13.5022,0
24.3436,0.818884,0
0.466246,0.372716,0
0.478682,0.372716,0
0.0117463,0.0115685,0
0.204836,0.177608,0
-0.562442,-0.539328,0
0.448514,0.561499,0
4.60849,0.141509,0
0.494236,3.03835,0
8.79697,1.32164,0
0,0,0
2.84434,13.5,0
22.536,0.816038,0
0.516167,0.373961,0
0.549053,0.373961,0
0.00998317,0.0115845,0
0.29316,0.177051,0
-0.3967,-0.537478,0
0.453834,0.592059,0
2.74336,0.0486726,0
0.747269,0.850094,0
8.40598,1.29525,0
0,0,0
2.63717,13.4115,0
25.5801,1.15367,0
0.522196,0.343227,0
0.564932,0.357763,0
0.0110974,0.0139339,0
0.245056,0.0844998,0
-0.450752,-0.79135,0
0.472415,0.562433,0
3.48826,0.14554,0
0.827535,-4.57314,0
7.31572,1.14658,0
0,0,0
2.66197,13.4977,0
23.3658,0.832154,0
0.492098,0.374544,0
0.533133,0.374544,0
0.0107652,0.0114947,0
0.254636,0.180177,0
-0.598832,-1.42038,0
0.828803,0.940375,0
0.0203046,0.0152284,0
0.8743,1.50681,0
1.08081,1.03004,0
0,0,0
3.95939,13.9645,0
0.302919,0.0748795,0
0.17223,0.0725667,0
0.178338,0.0725667,0
0.0147592,0.0149122,0
0.0430829,0.0342296,0
-0.774699,-0.460635,0
0.814455,0.914503,0
0.0494506,0.032967,0
0.856177,2.35316,0
1.07644,1.03248,0
0,0,0
3.97253,13.967,0
0.246498,0.0758363,0
0.192633,0.0981423,0
0.204035,0.106809,0
0.0139119,0.0143846,0
0.0855014,0.0629246,0
-0.496924,-0.214561,0
0.818357,0.92045,0
0.0408163,0.0357143,0
0.999927,1.40348,0
1.07526,1.02528,0
0,0,0
3.94898,13.9745,0
0.262703,0.0554717,0
0.188395,0.090001,0
0.196853,0.10052,0
0.0141574,0.0143046,0
0.0740515,0.0669057,0
-0.590733,-0.0891723,0
0.851877,0.92391,0
0.027933,0.0391061,0
1.2017,2.01658,0
1.05537,1.01648,0
0,0,0
3.97207,13.9721,0
0.22827,0.0383259,0
0.15285,0.0786512,0
0.158916,0.0887372,0
0.0145323,0.0142066,0
0.055356,0.0716903,0
-0.801895,-0.353184,0
0.441563,0.465668,0
0.0675676,0.0675676,0
1.27525,-0.778822,0
1.24543,1.2279,0
0,0,0
4.93243,13.2297,0
0.927867,0.879657,0
0.387014,0.375661,0
0.387014,0.375661,0
0.013412,0.013412,0
0.107393,0.107393,0
-0.723974,-0.729567,0
0.417486,0.441169,0
0.126984,0.174603,0
0.73074,0.999956,0
1.23583,1.21063,0
0,0,0
4.7619,13.4127,0
0.816327,0.655077,0
0.413808,0.402691,0
0.45203,0.454934,0
0.0119165,0.0108772,0
0.16529,0.201118,0
-0.43367,-0.267093,0
0.463598,0.456457,0
0.112676,0.169014,0
0.382592,2.05371,0
1.22813,1.21385,0
0,0,0
4.64789,13.4366,0
0.763341,0.640349,0
0.388809,0.395041,0
0.416323,0.441758,0
0.0122565,0.0109918,0
0.152895,0.1973,0
-0.469346,-0.283755,0
0.397396,0.412544,0
0.153846,0.169231,0
-0.0523805,3.11528,0
1.24852,1.24,0
0,0,0
4.8,13.3077,0
0.806154,0.736095,0
0.430794,0.422186,0
0.45251,0.457029,0
0.0113128,0.0109874,0
0.186444,0.19745,0
-0.462811,-0.371431,0
0.789941,1,0
0.0769231,0,0
2.11419,0,0
1.2071,1,0
0,0,0
9.76923,12,0
0.639053,0,0
0.187199,-4.34882E-06,0
0.187199,-4.34882E-06,0
0.0131619,0.0153809,0
0.117767,-4.34882E-06,0
-0.563627,0,0
0.830579,0.913223,0
0.0454545,0,0
0.724974,0.999904,0
1.33058,1.04339,0
0,0,0
9.59091,12.0909,0
1.69628,0.173554,0
0.159655,0.0802956,0
0.159655,0.0802956,0
0.014025,0.0153809,0
0.0802956,-4.34882E-06,0
-1.79541,-0.998972,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
10,12,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.76,1,0
0.133333,0,0
-6.49957,0,0
1.06222,1,0
0,0,0
9.73333,12,0
0.595556,0,0
0.210661,-4.34882E-06,0
0.210661,-4.34882E-06,0
0.0117698,0.0153809,0
0.170528,-4.34882E-06,0
-2.39748,0,0
0.425161,0.349862,0
0.0606061,0.69697,0
1.49332,0.786561,0
1.5528,6.53719,0
0,0,0
11.0909,7.90909,0
2.26446,21.416,0
0.482603,0.548097,0
0.482603,0.548097,0
0.0136017,0.0111625,0
0.0992848,0.24723,0
-0.816731,-0.976841,0
0.4816,0.4464,0
0,0.36,0
0.999976,0.913437,0
1.72,6.5456,0
0,0,0
11.2,8.12,0
2.88,22.1056,0
0.383279,0.412564,0
0.383279,0.412564,0
0.0153809,0.0141809,0
-4.34882E-06,0.0729285,0
-0.999909,-1.2269,0
0.467764,0.44856,0
0,0.037037,0
0.999976,1.00644,0
1.68587,6.73937,0
0,0,0
11.1852,7.96296,0
2.74348,22.7023,0
0.394507,0.407592,0
0.394507,0.407592,0
0.0153809,0.0142663,0
-4.34882E-06,0.0687881,0
-0.999925,-1.19396,0
0.363636,0.347107,0
0.136364,1.72727,0
0.633314,1.08205,0
1.7438,6.53926,0
0,0,0
11.4091,7,0
2.8781,20.5455,0
0.540167,0.534291,0
0.567529,0.534291,0
0.0117006,0.0104093,0
0.172974,0.287998,0
-0.636276,-2.06871,0
0.347222,1,0
0.0833333,0,0
1.88232,0,0
1.47222,1,0
0,0,0
11.0833,2,0
1.6875,0,0
0.520636,-4.34882E-06,0
0.520636,-4.34882E-06,0
0.0129937,0.0153809,0
0.124563,-4.34882E-06,0
-0.781217,0,0
0.263889,1,0
0.333333,0,0
0.999944,0,0
1.24305,1,0
0,0,0
12.5,2,0
1.30556,0,0
0.637407,-4.34882E-06,0
0.637407,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-0.820449,0,0
0.375,1,0
0,0,0
0.999976,0,0
1.6875,1,0
0,0,0
9.5,2,0
2.75,0,0
0.451532,-4.34882E-06,0
0.451532,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999962,0,0
0.185185,1,0
0.333333,0,0
1.66662,0,0
1.66667,1,0
0,0,0
10.5556,2,0
2.09877,0,0
0.686639,-4.34882E-06,0
0.75353,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-0.420604,0,0
0.184028,0.190972,0
4.04167,0.666667,0
1.73254,0.911092,0
3.38889,1.9375,0
0,0,0
9.29167,3.83333,0
7.53993,2.97222,0
0.818325,0.718485,0
0.912506,0.803202,0
0.005778,0.00691732,0
0.561096,0.385508,0
-1.04339,-0.554637,0
0.207101,0.195266,0
2.76923,2.23077,0
1.67239,0.837483,0
3.74556,1.94675,0
0,0,0
9.07692,3.92308,0
10.8402,4.07101,0
0.798762,0.752454,0
0.798762,0.84507,0
0.0077995,0.00724477,0
0.406984,0.372933,0
-1.71897,-1.00113,0
0.0918367,0.295918,0
3.64286,0.928571,0
0.253331,0.462473,0
7.12245,3.92347,0
0,0,0
9.21429,3.78571,0
17.3112,7.7398,0
0.974068,0.621313,0
1.06007,0.680544,0
0.00437958,0.00756836,0
0.597592,0.360656,0
-1.21762,-1.06535,0
0.166667,0.236111,0
5.5,2.66667,0
-1.0334,-0.168829,0
3.90972,3.13889,0
0,0,0
9.33333,3.83333,0
6.38889,3.30556,0
0.737742,0.687574,0
0.878456,0.737742,0
0.00561523,0.00626628,0
0.586181,0.46691,0
-1.5205,-0.716072,0
0.132538,0.43516,0
1.0202,0.474748,0
1.72576,1.02305,0
1.55668,1.87562,0
0,0,0
11.7273,11.0404,0
1.55188,2.42261,0
0.671637,0.530186,0
0.909557,0.633412,0
0.00571986,0.00982658,0
0.442327,0.295637,0
-0.101536,-0.394685,0
0.119534,0.365473,0
1.09184,1.22449,0
1.06981,0.526102,0
1.58444,1.86131,0
0,0,0
11.8469,11.1224,0
1.39494,1.92378,0
0.666693,0.549114,0
0.936637,0.69717,0
0.00565509,0.00709655,0
0.444717,0.435752,0
-0.0310428,-0.11684,0
0.191021,0.356625,0
0.373832,1.27103,0
0.451412,-0.491221,0
1.68146,1.60791,0
0,0,0
12.0187,11.1776,0
2.35479,1.45445,0
0.676132,0.518492,0
0.798482,0.670329,0
0.00872089,0.00714051,0
0.301393,0.442811,0
-0.326067,-0.148679,0
0.127529,0.379119,0
1.15054,1.17204,0
-1.0781,-0.79629,0
1.68817,1.52677,0
0,0,0
11.8387,11.1935,0
1.38259,1.68297,0
0.662226,0.527286,0
0.918602,0.664744,0
0.00549894,0.00677799,0
0.45242,0.448314,0
-0.0814514,-0.25006,0
0.544598,0.412507,0
2.88947,0.223684,0
0.74731,1.84514,0
10.4667,1.22417,0
0,0,0
2.77368,13.4079,0
33.5314,0.620464,0
0.38245,0.420428,0
0.387095,0.48422,0
0.0122134,0.00995431,0
0.184171,0.230833,0
-0.607381,-0.184083,0
0.545522,0.411254,0
3.17729,0.224377,0
0.706048,2.03937,0
10.4897,1.22652,0
0,0,0
2.83379,13.4044,0
32.8594,0.623138,0
0.379575,0.421629,0
0.379575,0.484649,0
0.0119916,0.00994236,0
0.194303,0.231206,0
-0.611522,-0.188424,0
0.553518,0.524432,0
1.80789,0.0552632,0
0.875489,1.07159,0
10.1943,1.22035,0
0,0,0
2.50263,13.3816,0
34.5255,0.820187,0
0.366951,0.348316,0
0.377375,0.364672,0
0.014193,0.0137493,0
0.0763951,0.092813,0
-0.766113,-0.666855,0
0.549282,0.40734,0
2.90028,0.229917,0
0.913286,-0.864899,0
9.72165,1.19903,0
0,0,0
2.74515,13.4044,0
33.1364,0.617598,0
0.37872,0.42254,0
0.389076,0.489023,0
0.0122789,0.00984789,0
0.181065,0.234152,0
-0.872554,-0.198587,0
0.314623,0.597837,0
0.0479452,0.0821918,0
0.976969,-1.47163,0
7.24745,1.19397,0
0,0,0
3.89041,12.2945,0
24.4156,0.639285,0
0.585629,0.351208,0
0.585629,0.351208,0
0.0139544,0.0130235,0
0.0835582,0.12337,0
-0.877096,-0.603212,0
0.274512,0.582609,0
1.41516,0.101083,0
0.77348,-1.25698,0
7.50257,1.19354,0
0,0,0
3.9278,12.296,0
22.6812,0.619948,0
0.653071,0.364739,0
0.675299,0.381651,0
0.0120962,0.0125413,0
0.194211,0.142204,0
-0.685006,-0.4834,0
0.287935,0.594114,0
1.55446,0.0561056,0
0.762971,1.11718,0
7.40508,1.19706,0
0,0,0
3.93069,12.3201,0
22.4472,0.732499,0
0.638563,0.34388,0
0.658068,0.360319,0
0.0126857,0.0137259,0
0.174222,0.0938487,0
-0.712232,-0.663048,0
0.284657,0.567029,0
1.75725,0.112319,0
0.750085,3.56767,0
7.35014,1.1665,0
0,0,0
4.09783,12.3007,0
22.3499,0.630579,0
0.656618,0.377822,0
0.67774,0.391364,0
0.0121618,0.0122651,0
0.199996,0.152575,0
-0.676193,-0.542396,0
0.194484,0.637637,0
0.126685,0.123989,0
0.942472,0.951229,0
3.0152,1.27655,0
0,0,0
7.69542,11.5418,0
7.38701,0.970626,0
0.833829,0.328227,0
0.84053,0.352668,0
0.0119235,0.013471,0
0.165039,0.119979,0
-0.767524,-0.610611,0
0.150784,0.608423,0
0.696884,0.17847,0
0.573018,1.40366,0
3.02359,1.2877,0
0,0,0
7.68272,11.5552,0
6.63588,0.875844,0
0.886952,0.355852,0
0.985452,0.388431,0
0.00875188,0.0117964,0
0.300507,0.187533,0
-0.543159,-0.421493,0
0.152462,0.625054,0
0.67655,0.161725,0
0.577114,1.28261,0
2.93769,1.27655,0
0,0,0
7.66846,11.5687,0
6.85235,0.859831,0
0.875595,0.342929,0
0.979181,0.372718,0
0.0091393,0.0121426,0
0.291586,0.173967,0
-0.558587,-0.455809,0
0.147092,0.616769,0
0.685552,0.175637,0
0.550543,1.10047,0
2.73962,1.28183,0
0,0,0
7.67139,11.5581,0
6.6059,0.875523,0
0.890856,0.348095,0
0.983759,0.38557,0
0.00865056,0.0120577,0
0.31106,0.180391,0
-0.56109,-0.435136,0
0.595125,1,0
0.0517241,0,0
1.80922,0,0
1.19174,1,0
0,0,0
9.53448,12,0
0.662604,0,0
0.304438,-4.34882E-06,0
0.304438,-4.34882E-06,0
0.0138481,0.0153809,0
0.0883967,-4.34882E-06,0
-0.678292,0,0
0.55102,1,0
0.102041,0,0
1.83752,0,0
1.19492,1,0
0,0,0
9.53061,12,0
0.61641,0,0
0.340685,-4.34882E-06,0
0.362856,-4.34882E-06,0
0.0125175,0.0153809,0
0.143111,-4.34882E-06,0
-0.447967,0,0
0.432692,1,0
0.115385,0,0
0.253578,0,0
1.23188,1,0
0,0,0
9.23077,12,0
0.908284,0,0
0.426094,-4.34882E-06,0
0.454194,-4.34882E-06,0
0.0121911,0.0153809,0
0.155307,-4.34882E-06,0
-0.701278,0,0
0.524029,1,0
0.0980392,0,0
-0.416647,0,0
1.17993,1,0
0,0,0
9.47059,12,0
0.680507,0,0
0.354762,-4.34882E-06,0
0.376064,-4.34882E-06,0
0.0126175,0.0153809,0
0.139293,-4.34882E-06,0
-0.539884,0,0
0.399184,0.363265,0
0.228571,0.971429,0
1.47215,0.77536,0
1.96816,6.34204,0
0,0,0
10.5143,8.05714,0
3.78776,21.0824,0
0.542014,0.52479,0
0.582901,0.52479,0
0.0114523,0.0121156,0
0.209144,0.188731,0
-0.68868,-0.751021,0
0.346939,0.326531,0
0.178571,1.17857,0
1.46664,0.755654,0
1.91837,6.40816,0
0,0,0
10.9643,7.39286,0
3.53444,21.0957,0
0.577714,0.556277,0
0.607328,0.556277,0
0.010797,0.0123117,0
0.203771,0.177482,0
-0.705004,-0.741587,0
0.539062,0.478516,0
0.0625,0,0
0.499988,0.999991,0
1.75,5.875,0
0,0,0
10.4375,9,0
2.68359,19.5,0
0.418112,0.378882,0
0.418112,0.378882,0
0.0135498,0.0153809,0
0.101526,-4.34882E-06,0
-0.914106,-0.999888,0
0.363281,0.419922,0
0.25,0.5,0
0.328485,0.999992,0
2.20996,6.9375,0
0,0,0
10.6875,7.625,0
4.27734,22.8594,0
0.570771,0.431719,0
0.615492,0.431719,0
0.0111389,0.0144348,0
0.222166,0.0603846,0
-0.673833,-0.941112,0
0.353954,1,0
0.178571,0,0
1.35587,0,0
1.30102,1,0
0,0,0
13.0357,2,0
1.00383,0,0
0.511294,-4.34882E-06,0
0.563081,-4.34882E-06,0
0.010797,0.0153809,0
0.203771,-4.34882E-06,0
-0.374224,0,0
0.264723,1,0
0.341463,0,0
0.414274,0,0
1.29149,1,0
0,0,0
12.7805,2,0
0.824509,1.42109E-14,0
0.51173,-4.29705E-06,0
0.614517,-4.29705E-06,0
0.00835379,0.0153809,0
0.278809,-4.29705E-06,0
-0.199259,0,0
0.278107,1,0
0.358974,0,0
0.287656,0,0
1.28797,1,0
0,0,0
13.2308,2,0
0.690335,0,0
0.505525,-4.34882E-06,0
0.605435,-4.34882E-06,0
0.00818987,0.0153809,0
0.28351,-4.34882E-06,0
-0.106469,0,0
0.271532,1,0
0.333333,0,0
1.8552,0,0
1.2998,1,0
0,0,0
13,2,0
0.871795,0,0
0.535815,-4.34882E-06,0
0.631536,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-0.172663,0,0
0.157025,0.206612,0
0.272727,0.454545,0
0.950883,1.18598,0
4.70248,4.42149,0
0,0,0
9,5.90909,0
15.6364,14.6281,0
0.856501,0.767699,0
0.856501,0.767699,0
0.00918251,0.0104738,0
0.254467,0.260636,0
-0.868498,-0.875136,0
0.239669,0.173554,0
2.36364,0.272727,0
0.98096,1.07398,0
5.77686,4.68595,0
0,0,0
9.63636,7,0
15.686,13.4545,0
0.692312,0.801773,0
0.692312,0.801773,0
0.0104738,0.00918251,0
0.260636,0.254467,0
-0.914019,-0.830006,0
0.274238,0.307479,0
0.0526316,0.210526,0
0.98661,0.918618,0
4.93352,3.58726,0
0,0,0
6.89474,4.42105,0
16.0942,9.71745,0
0.614626,0.689028,0
0.614626,0.720711,0
0.0138227,0.010187,0
0.0895394,0.223502,0
-0.915652,-1.05934,0
0.123967,0.223141,0
0.545455,0.454545,0
1.0681,0.871085,0
6.33884,5.2314,0
0,0,0
9.09091,6.63636,0
20.8099,16.0496,0
0.801773,0.71297,0
0.931888,0.71297,0
0.00763293,0.0104738,0
0.299224,0.260636,0
-1.11182,-0.881632,0
0.154064,0.550095,0
1.13043,0.195652,0
2.40452,-2.72422,0
1.43336,1.21597,0
0,0,0
11.913,11.5435,0
1.03592,0.769849,0
0.599961,0.385192,0
0.866529,0.385192,0
0.00687424,0.010463,0
