angles,magnitude,activity
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.755102,1,0
0.142857,0,0
0,0,0
1,1,0
0,0,0
3.85714,2,0
0.122449,0,0
0.178103,-4.34882E-06,0
0.178103,-4.34882E-06,0
0.0115543,0.0153809,0
0.178103,-4.34882E-06,0
121843,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.625,1,0
0.25,0,0
0.999954,0,0
1.1875,1,0
0,0,0
3.75,2,0
0.1875,0,0
0.24421,-4.34882E-06,0
0.24421,-4.34882E-06,0
0.00952148,0.0153809,0
0.24421,-4.34882E-06,0
-0.511591,0,0
0.382716,1,0
0.333333,0,0
1.28121,0,0
1.39506,1,0
0,0,0
4.55556,2,0
1.80247,0,0
0.499013,-4.34882E-06,0
0.499013,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-9.48266,0,0
0.387755,1,0
0.285714,0,0
0.649986,0,0
1.81633,1,0
0,0,0
5.14286,2,0
2.40816,0,0
0.501046,-4.34882E-06,0
0.501046,-4.34882E-06,0
0.00900331,0.0153809,0
0.259816,-4.34882E-06,0
-4.81095,0,0
0.4375,1,0
0.125,0,0
1.49996,0,0
1.5,1,0
0,0,0
5.125,2,0
2.35938,0,0
0.466216,-4.34882E-06,0
0.466216,-4.34882E-06,0
0.0119629,0.0153809,0
0.163621,-4.34882E-06,0
-0.903658,0,0
0.46875,1,0
0.125,0,0
0.659559,0,0
1.73438,1,0
0,0,0
5.125,2,0
2.85938,0,0
0.390963,-4.34882E-06,0
0.390963,-4.34882E-06,0
0.0119629,0.0153809,0
0.163621,-4.34882E-06,0
-0.77651,0,0
0.305026,0.168968,0
2.40171,1.23932,0
0.646194,0.637948,0
7.34139,4.18703,0
0,0,0
2.69231,7.94872,0
20.3924,11.7495,0
0.657295,0.837714,0
0.73489,0.923088,0
0.00889128,0.00752042,0
0.337534,0.3882,0
-0.420825,-0.464638,0
0.305124,0.162144,0
2.46725,1.31878,0
0.661937,0.606122,0
7.70411,4.14868,0
0,0,0
2.64192,7.99127,0
21.8003,11.834,0
0.646889,0.847942,0
0.72756,0.939033,0
0.00897545,0.00725566,0
0.340246,0.40855,0
-0.443754,-0.460149,0
0.428592,0.260733,0
0.0808511,0.242553,0
0.998495,0.910293,0
6.68558,4.17856,0
0,0,0
2.31064,7.94468,0
22.6807,12.7842,0
0.517118,0.691535,0
0.542123,0.709637,0
0.0133896,0.0127756,0
0.11489,0.164268,0
-0.832137,-0.817395,0
0.320722,0.166416,0
2.22271,1.28384,0
0.976652,0.888064,0
6.23869,4.23827,0
0,0,0
2.61572,8.00873,0
21.2692,11.6418,0
0.635175,0.838517,0
0.714457,0.932839,0
0.00897843,0.00732419,0
0.330362,0.401407,0
-0.474559,-0.466745,0
0.545314,0.392083,0
0.10219,0.124088,0
0.986625,0.90126,0
1.54686,3.14407,0
0,0,0
5.24088,4.0511,0
1.97848,8.00469,0
0.401528,0.587794,0
0.424381,0.592184,0
0.0125138,0.0134495,0
0.143251,0.115192,0
-0.604759,-0.86667,0
0.639715,0.392275,0
0.10084,0.680672,0
0.999971,0.684182,0
1.47525,2.96907,0
0,0,0
5.34454,3.70588,0
1.8897,6.57736,0
0.316153,0.599482,0
0.331432,0.676968,0
0.0125474,0.00928357,0
0.141973,0.331712,0
-0.676277,-0.574733,0
0.579162,0.372181,0
0.114504,0.526718,0
0.927663,0.821545,0
1.52782,3.05338,0
0,0,0
5.21374,3.9313,0
2.12225,7.60597,0
0.372952,0.594575,0
0.40149,0.656004,0
0.0122123,0.0104114,0
0.154526,0.281094,0
-0.636992,-0.681497,0
0.557639,0.380278,0
0.15,0.541667,0
0.822915,0.875963,0
1.51771,2.81417,0
0,0,0
5.21667,3.84167,0
2.06972,7.1166,0
0.375956,0.610399,0
0.418124,0.671612,0
0.0113965,0.00938911,0
0.183572,0.316809,0
-0.60293,-0.652231,0
0.21875,0.1875,0
0.375,0.25,0
0.142853,1.37497,0
1.4375,2,0
0,0,0
5.375,6.25,0
1.48438,3.6875,0
0.573637,0.752549,0
0.677296,0.752549,0
0.00805664,0.00952148,0
0.287305,0.24421,0
-0.436146,-0.729028,0
0.28,0.28,0
0.4,0.6,0
0.499985,0.659081,0
1.4,2.76,0
0,0,0
6,5.4,0
1.2,6.64,0
0.458133,0.412684,0
0.578541,0.578541,0
0.00788086,0.00788086,0
0.292277,0.292277,0
-0.598067,-1.10399,0
0.388889,0.333333,0
0.5,0.666667,0
0.999958,-0.499987,0
1.22222,1.55556,0
0,0,0
5.5,4.33333,0
0.25,1.22222,0
0.301021,0.376765,0
0.439234,0.539573,0
0.00756836,0.00843642,0
0.301021,0.276426,0
-0.229532,-0.90514,0
0.333333,0.222222,0
0.666667,1.16667,0
1.14632,-0.317067,0
2.13889,2.13889,0
0,0,0
6,5.83333,0
3.33333,3.80556,0
0.376765,0.539573,0
0.539573,0.677786,0
0.00843642,0.00583225,0
0.276426,0.439234,0
-0.90514,-0.739299,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
10,10,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.68,0.68,0
0.2,0,0
-2.74989,0.999988,0
1.16,3.56,0
0,0,0
9.4,8.4,0
1.44,10.24,0
0.217313,0.217313,0
0.217313,0.217313,0
0.0103809,0.0153809,0
0.217313,-4.34882E-06,0
-4.31514,-0.999955,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
10,10,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.5,1,0
0.5,0,0
1.99996,0,0
2,1,0
0,0,0
4.5,2,0
6.25,0,0
0.301021,-4.34882E-06,0
0.301021,-4.34882E-06,0
0.00756836,0.0153809,0
0.301021,-4.34882E-06,0
-8.30506,0,0
0.5,1,0
0,0,0
0.99996,0,0
1.25,1,0
0,0,0
3,2,0
1,0,0
0.301021,-4.34882E-06,0
0.301021,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-1,0,0
0.555556,1,0
0.333333,0,0
0.999958,0,0
1.22222,1,0
0,0,0
3.66667,2,0
0.222222,0,0
0.276426,-4.34882E-06,0
0.276426,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-0.637013,0,0
0.5,1,0
0.5,0,0
0.99996,0,0
1.25,1,0
0,0,0
3.5,2,0
0.25,0,0
0.301021,-4.34882E-06,0
0.301021,-4.34882E-06,0
0.00756836,0.0153809,0
0.301021,-4.34882E-06,0
-1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.360947,1,0
0.307692,0,0
0.277766,0,0
1.21302,1,0
0,0,0
3.38462,2,0
0.544379,0,0
0.427316,-4.34882E-06,0
0.519936,-4.34882E-06,0
0.00872406,0.0153809,0
0.268056,-4.34882E-06,0
-0.0603415,0,0
0.326531,1,0
0.214286,0,0
0.794091,0,0
1.34694,1,0
0,0,0
3.5,2,0
1.10714,0,0
0.519081,-4.34882E-06,0
0.578313,-4.34882E-06,0
0.0101194,0.0153809,0
0.225642,-4.34882E-06,0
-0.441386,0,0
0.387755,1,0
0.571429,0,0
-2.07308,0,0
1.20918,1,0
0,0,0
3.71429,2,0
0.489796,0,0
0.430429,-4.34882E-06,0
0.527815,-4.34882E-06,0
0.00756836,0.0153809,0
0.360656,-4.34882E-06,0
-0.820079,0,0
0.46,1,0
0.3,0,0
0.999967,0,0
1.36,1,0
0,0,0
3.9,2,0
0.69,0,0
0.38996,-4.34882E-06,0
0.38996,-4.34882E-06,0
0.00881836,0.0153809,0
0.265286,-4.34882E-06,0
-0.768333,0,0
0.226667,0.653333,0
3.8,0.4,0
1.08332,1.55966,0
4.2,1.59556,0
0,0,0
6.73333,2.66667,0
11.2622,3.95556,0
0.769372,0.272596,0
0.769372,0.312729,0
0.00663086,0.0101031,0
0.442979,0.272596,0
-1.83714,-1.35348,0
0.166667,0.708333,0
1.16667,0.833333,0
0.661685,2.19988,0
5.1875,1.13889,0
0,0,0
7.33333,2.5,0
14.0556,1.91667,0
0.658849,0.245835,0
0.840586,0.245835,0
0.00648329,0.0108236,0
0.416742,0.245835,0
-0.742662,-1.91262,0
0.266272,0.857988,0
0.230769,0,0
1.09534,0.999985,0
5.84024,2.77515,0
0,0,0
6.84615,2.76923,0
18.6864,7.10059,0
0.659833,0.117767,0
0.659833,0.117767,0
0.00983352,0.0153809,0
0.234599,-4.40059E-06,0
-1.17141,-0.999628,0
0.16955,0.889273,0
3,0.0588235,0
0.0880555,-0.0624947,0
4.41868,1.05536,0
0,0,0
6.05882,2.05882,0
10.9965,0.0553633,0
0.763565,0.0971508,0
0.856435,0.0971508,0
0.00618968,0.0136508,0
0.450603,0.0971508,0
-0.879981,-0.271005,0
0.404934,0.250566,0
5.03191,0.590425,0
0.537422,0.38057,0
9.54377,2.04765,0
0,0,0
2.59574,9.77128,0
26.1129,3.43173,0
0.517276,0.726,0
0.563797,0.783508,0
0.0104994,0.00912361,0
0.259167,0.300053,0
-0.375337,-0.465094,0
0.390086,0.255578,0
6.19209,0.480226,0
0.332763,0.393253,0
9.77219,2.08015,0
0,0,0
2.83616,9.79096,0
22.7998,3.32918,0
0.531079,0.712441,0
0.570566,0.766378,0
0.00951968,0.00919949,0
0.299605,0.287671,0
-0.357826,-0.486433,0
0.479769,0.326107,0
3.77049,0.256831,0
0.641062,0.863807,0
9.20586,2.04333,0
0,0,0
2.39344,9.86339,0
26.5578,3.60429,0
0.451253,0.620583,0
0.468512,0.643,0
0.0125572,0.0129883,0
0.162226,0.143774,0
-0.6053,-0.749267,0
0.386449,0.240947,0
6.51429,0.645714,0
0.634849,0.972616,0
7.97959,2.04405,0
0,0,0
2.89143,9.81143,0
23.0248,3.37587,0
0.53109,0.738359,0
0.590782,0.800586,0
0.00996964,0.00925739,0
0.279139,0.298695,0
-0.343718,-0.488891,0
0.347666,0.695331,0
0.133858,0.0748031,0
0.972184,0.73704,0
1.42507,1.56898,0
0,0,0
4.32283,7.5315,0
1.46271,2.23326,0
0.546753,0.329106,0
0.577363,0.335314,0
0.0120178,0.0140813,0
0.168657,0.083158,0
-0.581487,-0.742475,0
0.288611,0.590664,0
0.253165,0.818565,0
1.05252,-0.215909,0
1.40147,1.53093,0
0,0,0
4.36287,7.51899,0
1.28605,1.58297,0
0.595126,0.407628,0
0.650991,0.456926,0
0.00964148,0.00991688,0
0.248796,0.31336,0
-0.390589,-0.230568,0
0.303181,0.596503,0
0.173228,0.716535,0
0.961497,-0.529087,0
1.40932,1.39651,0
0,0,0
4.30709,7.6063,0
1.49625,1.39618,0
0.56694,0.405775,0
0.612973,0.455843,0
0.0109052,0.0101457,0
0.200187,0.301171,0
-0.542762,-0.307869,0
0.285143,0.619484,0
0.217021,0.748936,0
0.778672,-0.13371,0
1.36534,1.45041,0
0,0,0
4.31064,7.57447,0
1.41414,1.36786,0
0.598221,0.374983,0
0.647967,0.427015,0
0.0100708,0.0102722,0
0.227176,0.296164,0
-0.469407,-0.217619,0
0.368042,0.488892,0
0.132812,0.164062,0
1.04819,1.09499,0
1.32397,1.73999,0
0,0,0
5.33594,7.49219,0
1.12933,2.46869,0
0.486034,0.519536,0
0.520972,0.543041,0
0.0117817,0.0120983,0
0.170104,0.176875,0
-0.551347,-0.616779,0
0.355278,0.36875,0
0.158333,0.941667,0
1.132,0.487628,0
1.31556,1.69937,0
0,0,0
5.34167,7.50833,0
1.0916,1.6666,0
0.505779,0.551519,0
0.544264,0.679351,0
0.0112164,0.0074273,0
0.189733,0.408722,0
-0.48622,-0.24161,0
0.385494,0.320256,0
0.120301,1.05263,0
0.87525,0.00862671,0
1.30143,1.675,0
0,0,0
5.32331,7.47368,0
1.07592,1.73803,0
0.468991,0.605652,0
0.504792,0.729016,0
0.0120737,0.00660952,0
0.159605,0.440739,0
-0.552225,-0.210927,0
0.364334,0.32141,0
0.16129,1.10484,0
0.449849,-0.601321,0
1.29318,1.5439,0
0,0,0
5.33871,7.50806,0
1.01431,1.508,0
0.493989,0.600357,0
0.537779,0.714315,0
0.0111535,0.00652981,0
0.191864,0.441051,0
-0.446875,-0.22351,0
0.555556,1,0
0,0,0
0.999958,0,0
1.22222,1,0
0,0,0
8.66667,10,0
0.888889,0,0
0.276426,-4.34882E-06,0
0.276426,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999992,0,0
0.625,0.78125,0
0,0.125,0
0.999954,4.4283,0
1.1875,1.10938,0
0,0,0
9.5,9.875,0
0.75,0.109375,0
0.24421,0.163621,0
0.24421,0.163621,0
0.0153809,0.0119629,0
-4.34882E-06,0.163621,0
-0.999976,-0.354422,0
0.506173,0.654321,0
0.111111,0,0
0.874989,0.999988,0
3.66667,3.76543,0
0,0,0
7.88889,8.22222,0
10.7654,11.0617,0
0.368566,0.23004,0
0.368566,0.23004,0
0.0122944,0.0153809,0
0.151487,-4.34882E-06,0
-1.93199,-0.999966,0
0.377551,0.55102,0
0.214286,0.285714,0
-1.10956,-9.49939,0
1.37245,1.12245,0
0,0,0
9.07143,10,0
1.63776,0.285714,0
0.544046,0.345821,0
0.544046,0.345821,0
0.0101194,0.00900331,0
0.225642,0.259816,0
-0.679123,-3.33733,0
0.428571,0.755102,0
0,0,0
0.999985,0.999986,0
2.83673,2.95918,0
0,0,0
3.71429,3.14286,0
7.34694,7.83673,0
0.415042,0.178103,0
0.415042,0.178103,0
0.0153809,0.0153809,0
-4.40059E-06,-4.40059E-06,0
-0.999935,-0.999898,0
0.166667,0.5,0
1.83333,2.66667,0
0.249997,0.249997,0
3.88889,4.55556,0
0,0,0
4.83333,4,0
7.80556,9.33333,0
0.677786,0.376765,0
0.778125,0.376765,0
0.00583225,0.0110406,0
0.439234,0.195668,0
-0.369053,-0.455516,0
0.432099,0.555556,0
0,0,0
0.999989,0.999989,0
4.35802,4.55556,0
0,0,0
4.88889,4.66667,0
13.4321,14.2222,0
0.406872,0.276426,0
0.406872,0.276426,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999917,-0.999992,0
0.555556,1,0
1.33333,0,0
0,0,0
3,1,0
0,0,0
3.33333,2,0
3.55556,0,0
0.276426,-4.34882E-06,0
0.276426,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-5.87869,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.433594,1,0
0.40625,0,0
1.7272,0,0
1.21484,1,0
0,0,0
4.59375,2,0
0.803711,0,0
0.443579,-4.34882E-06,0
0.527258,-4.34882E-06,0
0.00839233,0.0153809,0
0.313841,-4.34882E-06,0
-0.410974,0,0
0.352041,1,0
0.428571,0,0
0.196713,0,0
1.31122,1,0
0,0,0
4.42857,2,0
0.673469,0,0
0.488864,-4.34882E-06,0
0.577714,-4.34882E-06,0
0.0077278,0.0153809,0
0.296575,-4.34882E-06,0
-0.491931,0,0
0.304444,1,0
0.5,0,0
0.0624981,0,0
1.35556,1,0
0,0,0
4.63333,2,0
0.765556,0,0
0.490499,-4.34882E-06,0
0.628547,-4.34882E-06,0
0.00756836,0.0153809,0
0.301021,-4.34882E-06,0
-0.181347,0,0
0.283951,1,0
0.444444,0,0
-0.11176,0,0
1.2332,1,0
0,0,0
4.66667,2,0
0.740741,0,0
0.502981,-4.34882E-06,0
0.636572,-4.34882E-06,0
0.00809348,0.0153809,0
0.32692,-4.34882E-06,0
-0.93627,0,0
0.231867,0.250892,0
0.206897,1,0
1.47987,0.656457,0
2.00595,3.40904,0
0,0,0
9.93103,4.03448,0
3.68847,7.75743,0
0.682049,0.700181,0
0.719514,0.741694,0
0.010253,0.00991861,0
0.221401,0.299347,0
-0.606519,-0.663008,0
0.173611,0.194444,0
0.541667,1.75,0
2.01459,0.427569,0
2.06771,3.98438,0
0,0,0
9.70833,4.33333,0
3.9566,8.97222,0
0.699548,0.766905,0
0.821649,0.871808,0
0.00838216,0.00729709,0
0.337926,0.452014,0
-1.12715,-0.474488,0
0.236623,0.179548,0
0.206897,0.344828,0
0.563902,0.975538,0
2.58145,5.23068,0
0,0,0
8.13793,5.7931,0
6.55172,16.8537,0
0.639452,0.735143,0
0.68244,0.827484,0
0.0124082,0.00832081,0
0.173027,0.279758,0
-0.838341,-0.693235,0
0.248699,0.134235,0
0.322581,3.58065,0
-0.00323581,0.00770587,0
2.28616,4.51093,0
0,0,0
10.6452,4.87097,0
4.08949,8.49948,0
0.714204,0.874036,0
0.733621,0.978866,0
0.00972269,0.0054628,0
0.272188,0.527226,0
-1.28186,-0.443463,0
0.133109,0.189505,0
5.02643,2.44493,0
0.434049,0.761486,0
7.29719,4.34313,0
0,0,0
7.1674,6.25991,0
23.4816,10.8355,0
0.929888,0.771602,0
1.02381,0.959672,0
0.00765766,0.0069281,0
0.44062,0.480513,0
-0.515138,-0.351094,0
0.120553,0.174767,0
5.60987,2.63229,0
0.491575,0.717343,0
7.35927,4.39516,0
0,0,0
7.4574,6.30045,0
22.5005,10.9008,0
0.933288,0.814611,0
1.0621,1.01418,0
0.00647761,0.00635444,0
0.483387,0.511411,0
-0.427153,-0.29655,0
0.155417,0.243626,0
4.17949,0.871795,0
0.789175,0.894793,0
8.21647,4.41239,0
0,0,0
6.80342,6.35043,0
24.57,12.937,0
0.869024,0.748242,0
0.957622,0.837243,0
0.00963035,0.0111815,0
0.315923,0.258332,0
-0.568865,-0.619014,0
0.120932,0.175554,0
6.64414,2.57658,0
0.773542,0.461097,0
8.81738,4.29334,0
0,0,0
7.5,6.30631,0
21.3838,10.9692,0
0.945141,0.815871,0
1.06707,0.988851,0
0.00666479,0.0068081,0
0.474062,0.483884,0
-0.402138,-0.341511,0
0.137749,0.287196,0
0.76555,0.84689,0
0.888133,0.74192,0
2.83938,2.63156,0
0,0,0
6.55502,6.01435,0
6.35223,5.65051,0
0.858549,0.615887,0
1.01058,0.718405,0
0.00850215,0.00799564,0
0.366979,0.368162,0
-0.447175,-0.407805,0
0.130513,0.284409,0
0.845361,1.07732,0
0.685959,0.83933,0
2.73993,2.6684,0
0,0,0
6.63918,6.10825,0
6.00383,5.14808,0
0.861193,0.638896,0
1.03599,0.730736,0
0.00718143,0.00753016,0
0.407432,0.403893,0
-0.360992,-0.373467,0
0.147907,0.330362,0
